Date  20001101
Article  0  : ('伦敦外汇市场行情新华社伦敦', 1.0)('10月31日电', 1.0)
Article  1  : ('国', 1.0)('际市场贱金属价格新华社伦敦', 1.0)('10月31日电', 1.0)
Article  223  : ('1', 1.5509357793984728)('客', 1.0000000000000004)('人', 1.0000000000000004)('新加坡', 1.0000000000000002)
Article  224  : ('部', 1.1578707912061368)('界', 1.0886499999999997)('技术', 1.0000000000000016)('的', 1.000000000000001)
Article  225  : ('再', 1.5277520576131685)('各', 1.107794020853114)('的', 1.000000000000001)('体育', 1.0000000000000004)
Article  226  : ('4', 1.1719666158828286)('卡', 1.0000000000000007)('油田', 1.0000000000000002)('新华社乌鲁木齐11月1', 1.0000000000000002)
Article  227  : ('0', 1.1942864322124727)('工', 1.0000000000000009)('新', 1.0000000000000004)('施工', 1.0000000000000004)
Article  228  : ('9', 1.330250906825922)('领域', 1.0000000000000004)('的', 1.0000000000000004)('工', 1.0000000000000004)
Article  229  : ('河南省', 1.0000000000000002)('流通', 1.0000000000000002)('进', 1.0000000000000002)('新华社郑州11月1', 1.0000000000000002)
Article  230  : ('水源', 1.0821618577002996)('制', 1.0516597291293215)('到', 1.0000000000000004)('最近', 1.0000000000000004)
Article  231  : ('I', 1.3493593331404776)('作', 1.0706193978714091)('的', 1.0000000000000029)('约束', 1.0000000000000009)
Article  232  : ('9', 1.62394521060036)('亚', 1.2439069523071227)('统', 1.0083622685185187)('中', 1.0000000000000007)
Article  233  : ('查', 1.0000000000000004)('一', 1.0000000000000004)('验', 1.0000000000000004)('上', 1.0000000000000002)
Article  234  : ('运', 1.0747979653266586)('车', 1.000000000000003)('的', 1.0000000000000016)('元', 1.0000000000000009)
Article  235  : ('通', 1.1359901288853573)('行', 1.035830657979288)('广', 1.0000000000000004)('电', 1.0000000000000002)
Article  236  : ('9', 1.3181214794540894)('业', 1.1002043227511644)('大', 1.0196242643730196)('渔民', 1.0000000000000002)
Article  237  : ('内', 1.0000000000000002)('要', 1.0000000000000002)('闻', 1.0000000000000002)('国', 1.0)
Article  238  : ('营', 1.2487410815936915)('7', 1.1783043316035966)('愚', 1.0000000000000002)('新华社桂林11月', 1.0000000000000002)
Article  239  : ('不', 1.2755949503503201)('三', 1.129423589305837)('开', 1.0850876670934175)('的', 1.0000000000000022)
Article  240  : ('0', 2.0603310939679247)('新', 1.1134239959037977)('白', 1.1026054004190962)('治污', 1.0853891209004487)
Article  241  : ('4', 1.094370471040059)('中', 1.0288186350221529)('1', 1.0000000000000004)('0', 1.0000000000000004)
Article  242  : ('排', 1.3656092360153491)('行', 1.1615466392318243)('郊区', 1.0000000000000004)('入', 1.0000000000000004)
Article  243  : ('区', 1.0000000000000013)('林', 1.000000000000001)('年', 1.0000000000000007)('三峡', 1.0000000000000004)
Article  244  : ('2', 1.2014842643985257)('1', 1.1803053055835089)('建', 1.139992113877372)('在', 1.0000000000000004)
Article  245  : ('9', 1.8818239348959147)('由', 1.5031380464023139)('环', 1.0385666331325056)('市', 1.0000000000000007)
Article  246  : ('发', 1.1800882686787684)('1', 1.1633772971212353)('息', 1.1039808601758334)('的', 1.0000000000000022)
Article  247  : ('连', 1.128716247320417)('月', 1.0568954341122863)('的', 1.000000000000001)('CSP', 1.0000000000000009)
Article  248  : ('想', 1.30203509046427)('转', 1.274948286159948)('隐', 1.2232732085381948)('力', 1.1566124950608405)
Article  249  : ('国', 1.2998455594604388)('的', 1.0826521210434323)('可', 1.0000000000000007)('公司', 1.0000000000000004)
Date  20001102
Article  0  : ('访问', 1.0000000000000007)('的', 1.0000000000000004)('进', 1.0000000000000004)('新华社巴格达11月', 1.0000000000000002)
Article  1  : ('萨芬', 1.0000000000000004)('男子网球公开赛', 1.0000000000000002)('结束', 1.0000000000000002)('日', 1.0000000000000002)
Article  2  : ('足球', 1.0000000000000004)('德国足协', 1.0000000000000002)('布', 1.0000000000000002)('被授予', 1.0000000000000002)
Article  3  : ('队', 1.0293198429245074)('将', 1.0000000000000009)('巴', 1.0000000000000004)('葡萄牙', 1.0000000000000002)
Article  4  : ('早', 1.214218054021284)('9', 1.0000000000000004)('0', 1.0000000000000002)('大', 1.0000000000000002)
Article  5  : ('球', 1.3140000000000007)('姑', 1.144352529523254)('很多', 1.1286923567520388)('0', 1.1121642720778917)
Article  6  : ('人民币市场汇价新华社北京11月', 1.0)('2日电', 1.0)
Article  7  : ('务', 1.1675795288435913)('国', 1.1495697629754618)('在日本', 1.0000000000000004)('前', 1.0000000000000004)
Article  8  : ('水', 1.1947710123179336)('人', 1.0000000000000004)('代表团访问', 1.0000000000000002)('新华社贵阳11月', 1.0000000000000002)
Article  9  : ('5', 1.2256196470914744)('投资', 1.015777701677747)('有', 1.0000000000000009)('高西庆', 1.0000000000000004)
Article  10  : ('有', 1.0441876520584257)('说', 1.0000000000000004)('金', 1.0000000000000004)('在发展', 1.0000000000000002)
Article  11  : ('巴', 1.0000000000000004)('呼吁', 1.0000000000000004)('执', 1.0000000000000004)('斗争', 1.0000000000000002)
Article  12  : ('0', 2.248752709093505)('连', 1.264730314064634)('3', 1.0762049801584421)('国', 1.0000000000000004)
Article  13  : ('0', 1.848084919410149)('国', 1.0000000000000002)('围棋', 1.0000000000000002)('甲级联赛', 1.0000000000000002)
Article  14  : ('0', 1.848084919410149)('4', 1.3010416666666664)('国', 1.0000000000000002)('围棋', 1.0000000000000002)
Article  15  : ('手', 1.17237225144002)('6', 1.1359901288853573)('队', 1.1175697142521477)('影响', 1.0000000000000004)
Article  16  : ('晶', 1.6677498561683244)('第', 1.0000000000000007)('毽球花毽', 1.0000000000000004)('第四届全国农运会', 1.0)
Article  17  : ('9', 1.0105834960937499)('比', 1.0000000000000004)('在', 1.0000000000000002)('首', 1.0000000000000002)
Article  18  : ('斗', 1.2716638247913674)('重', 1.2513297478589644)('丽江', 1.1120000528268217)('赛', 1.0420066577600646)
Article  19  : ('试', 1.2091911827510018)('和', 1.0000000000000009)('由中国', 1.0000000000000002)('协', 1.0000000000000002)
Article  20  : ('美', 1.0000000000000002)('举', 1.0000000000000002)('自', 1.0000000000000002)('卫', 1.0000000000000002)
Article  21  : ('视光学', 1.0000000000000007)('的', 1.0000000000000004)('美', 1.0000000000000002)('将', 1.0000000000000002)
Article  22  : ('家', 1.0000000000000004)('国', 1.0000000000000004)('又有', 1.0000000000000002)('贸易', 1.0000000000000002)
Article  23  : ('为', 1.3548007383806204)('一', 1.2759371626618154)('发生', 1.0000000000000004)('市中心', 1.0000000000000004)
Article  24  : ('0', 1.3698588725831933)('2', 1.031902331615707)('年', 1.0250724583691266)('将', 1.000000000000001)
Article  25  : ('高', 1.1006010518407212)('泰', 1.0000000000000002)('格', 1.0000000000000002)('博士学位', 1.0000000000000002)
Article  26  : ('0', 1.8111024759003427)('球', 1.3147056972754168)('1', 1.142034622711978)('赛', 1.0999939677917931)
Article  27  : ('的', 1.0000000000000027)('本', 1.0000000000000004)('农运会中国式摔跤', 1.0000000000000004)('在', 1.0000000000000004)
Article  28  : ('如', 1.3389973069336982)('赫', 1.214218054021284)('少', 1.1861276403470464)('拍', 1.0979264653820866)
Article  29  : ('黑龙江', 1.0000000000000004)('李', 1.0000000000000004)('一', 1.0000000000000004)('和', 1.0000000000000004)
Article  30  : ('的', 1.0585948139173655)('运', 1.0000000000000033)('会', 1.0000000000000022)('农', 1.0000000000000018)
Article  31  : ('0', 1.2131528457480825)('4', 1.1188657707460328)('全', 1.0000000000000004)('的', 1.0000000000000004)
Article  32  : ('国', 1.0412237623413434)('进', 1.0327355808796135)('法', 1.0213995795142832)('委', 1.01203065952083)
Article  33  : ('0', 1.4728983533334916)('进', 1.0837646847999998)('广', 1.0000000000000004)('点', 1.0000000000000004)
Article  34  : ('家', 1.1918108934592713)('学', 1.023247816130782)('会', 1.0000000000000002)('在北京举行的', 1.0000000000000002)
Article  35  : ('0', 1.5660296121702049)('2', 1.136404783785034)('舞', 1.1359901288853576)('1', 1.0558452213273655)
Article  36  : ('市', 1.2217672767404886)('上', 1.0000000000000004)('公', 1.0000000000000004)('坚', 1.0000000000000002)
Article  37  : ('种', 1.0719341496091885)('化', 1.0707999999999998)('治', 1.0000000000000009)('国', 1.0000000000000007)
Article  38  : ('拉', 1.1492416286923732)('西', 1.0000000000000007)('发', 1.0000000000000002)('现', 1.0000000000000002)
Article  39  : ('0', 1.1885585245055812)('越', 1.179031708267245)('加', 1.1437229561454767)('1', 1.1150633239720256)
Article  40  : ('全', 1.1666091161925245)('一', 1.130429579160435)('农', 1.0000000000000007)('的', 1.0000000000000007)
Article  41  : ('吃', 1.1904348159999991)('天', 1.0300207756232687)('日', 1.0019266666666666)('民', 1.000000000000001)
Article  42  : ('协', 1.0000000000000016)('立', 1.0000000000000004)('会', 1.0000000000000002)('各', 1.0000000000000002)
Article  43  : ('国', 1.254167169089115)('报名', 1.0313620891124315)('广', 1.0000000000000004)('的', 1.0000000000000004)
Article  44  : ('署', 1.2142180540212837)('会', 1.0769856855367452)('国', 1.0000000000000016)('今', 1.0000000000000004)
Article  45  : ('1', 1.098299319727891)('月', 1.0)('2', 1.0)('日20时至11月', 1.0)
Article  46  : ('吁', 1.2816923534192655)('一', 1.1824981262044356)('了', 1.0679810429022134)('的', 1.0000000000000024)
Article  47  : ('区', 1.0000000000000004)('国', 1.0000000000000002)('淮', 1.0000000000000002)('由', 1.0000000000000002)
Article  48  : ('展', 1.444444444444445)('在', 1.20391833782196)('国', 1.1177861214400584)('开', 1.0000000000000007)
Article  49  : ('的', 1.0000000000000004)('在', 1.0000000000000004)('月', 1.0000000000000004)('拒绝', 1.0000000000000002)
Article  50  : ('里', 1.1440169950015235)('马', 1.1286923567520386)('控制', 1.0000000000000002)('子', 1.0000000000000002)
Article  51  : ('客', 1.0000000000000002)('新华社罗安达11月', 1.0000000000000002)('空难', 1.0000000000000002)('安', 1.0000000000000002)
Article  52  : ('9', 1.1938604499256233)('的', 1.0000000000000018)('俄', 1.0000000000000013)('中', 1.0000000000000009)
Article  53  : ('1', 1.2772931819720252)('克', 1.1359901288853576)('执白', 1.0000000000000007)('际象棋奥林匹克', 1.0000000000000002)
Article  54  : ('0', 1.2499680675841327)('各', 1.1451306959685166)('点', 1.0000000000000007)('2', 1.0000000000000004)
Article  55  : ('0', 1.2142180540212837)('1', 1.2135523315570103)('港', 1.0000000000000004)('在', 1.0000000000000002)
Article  56  : ('支持', 1.0000000000000004)('全', 1.0000000000000004)('向', 1.0000000000000002)('主', 1.0000000000000002)
Article  57  : ('0', 1.2178376658406245)('将参加', 1.0000000000000002)('日', 1.0000000000000002)('年', 1.0000000000000002)
Article  58  : ('冬', 1.6677498561683244)('明', 1.208405075445816)('丽', 1.1935636353202104)('黄', 1.1094351377311469)
Article  59  : ('非常', 1.1427680596047944)('成', 1.0000000000000004)('英格兰', 1.0000000000000004)('瑞典', 1.0000000000000002)
Article  60  : ('代表团', 1.0000000000000007)('团', 1.0000000000000007)('说', 1.0000000000000007)('的', 1.0000000000000004)
Article  61  : ('上', 1.2144744356029042)('学', 1.093527382058083)('中', 1.0625110200777836)('的', 1.0000000000000009)
Article  62  : ('2', 1.3246977477430415)('0', 1.1580683259687434)('推行', 1.0000000000000004)('不断', 1.0000000000000004)
Article  63  : ('大', 1.098299319727891)('通讯', 1.0000000000000013)('设立', 1.0000000000000002)('无', 1.0000000000000002)
Article  64  : ('合', 1.0000000000000007)('京', 1.0000000000000004)('会', 1.0000000000000004)('1', 1.0000000000000004)
Article  65  : ('国', 1.049329048028438)('人', 1.0000000000000004)('有利于', 1.0000000000000004)('发', 1.0000000000000002)
Article  66  : ('和', 1.0000000000000007)('2日上午', 1.0000000000000004)('示威者', 1.0000000000000004)('从', 1.0000000000000002)
Article  67  : ('队', 1.1088567830216594)('小', 1.0886061941401641)('运', 1.0000000000000007)('农', 1.0000000000000004)
Article  68  : ('1', 1.7406544786710076)('彩票', 1.2091911827510016)('事', 1.1859105674209585)('电', 1.1084142040237082)
Article  69  : ('0', 1.2592143456917326)('北京', 1.0000000000000007)('2', 1.0000000000000007)('奥', 1.0000000000000007)
Article  70  : ('队', 1.1222499999999997)('利', 1.1149772533810074)('选手', 1.0000000000000004)('女', 1.0000000000000004)
Article  71  : ('民兵军事三项', 1.0000000000000004)('第', 1.0000000000000002)('农', 1.0)('运', 1.0)
Article  72  : ('8', 1.2816923534192655)('停产', 1.275937162661816)('长', 1.0000000000000009)('山', 1.0000000000000004)
Article  73  : ('核', 1.0000000000000002)('家', 1.0000000000000002)('工', 1.0000000000000002)('介绍', 1.0000000000000002)
Article  74  : ('9', 1.209776220065189)('买', 1.1790317082672452)('系', 1.1286923567520388)('1', 1.0893570809976163)
Article  75  : ('罪', 1.1475275104538587)('法', 1.1406572065082028)('5', 1.1133363677742358)('月', 1.0638846013551266)
Article  76  : ('走', 1.2816923534192655)('社', 1.0000000000000009)('阳光', 1.0000000000000004)('了一辆', 1.0000000000000004)
Article  77  : ('佼', 1.1633772971212355)('第', 1.1408231585740423)('工', 1.0000000000000016)('代表队', 1.0000000000000009)
Article  78  : ('9', 1.071934149609189)('主管部门', 1.0000000000000007)('要求', 1.0000000000000002)('与', 1.0000000000000002)
Article  79  : ('马', 1.2439069523071231)('里', 1.201148998634501)('一', 1.0000000000000009)('叛乱', 1.0000000000000007)
Article  80  : ('9', 1.4466126682689977)('0', 1.275877923069615)('载', 1.1947710123179338)('国', 1.0000000000000002)
Article  81  : ('与', 1.0000000000000002)('俄', 1.0000000000000002)('驻', 1.0000000000000002)('华盛顿', 1.0000000000000002)
Article  82  : ('年', 1.097927730283899)('一', 1.0435414964131358)('国', 1.0066308078131188)('农民女篮', 1.0000000000000009)
Article  83  : ('玄', 1.3548007383806204)('稍', 1.2256196470914744)('场', 1.162566250079558)('7', 1.1440843264568092)
Article  84  : ('1', 2.161695481178952)('5', 1.3241969470153963)('4', 1.093630931333024)('3', 1.0639682935959158)
Article  85  : ('国', 1.1752842562083765)('巴以冲突', 1.0000000000000004)('欢迎', 1.0000000000000002)('新华社北京11月2日电', 1.0000000000000002)
Article  86  : ('人', 1.0000000000000004)('联', 1.0000000000000002)('通过', 1.0000000000000002)('新华社北京11月2日电', 1.0000000000000002)
Article  87  : ('0', 1.5970428849896394)('哈', 1.0000000000000002)('代', 1.0000000000000002)('萨巴赫', 1.0000000000000002)
Article  88  : ('1', 1.2142180540212837)('共', 1.0000000000000002)('瓦努阿图', 1.0)('和', 1.0)
Article  89  : ('人', 1.220178972896653)('教育', 1.012172364566906)('思想政治教育', 1.0000000000000016)('治', 1.0000000000000004)
Article  90  : ('0', 1.4668321977791503)('1', 1.4144998513289353)('9', 1.1364164296134842)('4', 1.0655025397541051)
Article  91  : ('1', 1.2351135416666659)('向', 1.152627788360858)('海', 1.0493041496383126)('发', 1.0000000000000004)
Article  92  : ('0', 1.3614366021045983)('说', 1.000000000000001)('庸', 1.0000000000000002)('幕', 1.0000000000000002)
Article  93  : ('庭', 1.214218054021284)('露', 1.1286923567520388)('1', 1.1212874573794716)('的', 1.0000000000000013)
Article  94  : ('天', 2.329600694444444)('0', 1.7639615686852705)('9', 1.352588844514104)('上', 1.0604660349063)
Article  95  : ('和', 1.0441087487651814)('作', 1.0000000000000007)('全', 1.0000000000000004)('的', 1.0000000000000004)
Article  96  : ('部', 1.221767276740489)('新', 1.0442457137344567)('学', 1.0145210191959146)('科', 1.0000000000000013)
Article  97  : ('后', 1.2607165866427954)('西藏', 1.0355288649931713)('对', 1.0251296401602377)('的', 1.0000000000000024)
Article  98  : ('美', 1.0000000000000004)('宇航员', 1.0000000000000002)('号', 1.0000000000000002)('现', 1.0000000000000002)
Article  99  : ('0', 1.0865387774821835)('造', 1.0000000000000007)('阿拉善', 1.0000000000000004)('绿洲', 1.0000000000000004)
Article  100  : ('9', 1.3081913784357462)('七', 1.2816923534192655)('1', 1.175950035304017)('南', 1.0837631901128235)
Article  101  : ('0', 1.3837104435817598)('界', 1.2147612254229534)('中', 1.0000000000000004)('神', 1.0000000000000004)
Article  102  : ('0', 1.361436602104599)('子', 1.0722299985380515)('5', 1.0594225637954124)('展', 1.0000000000000007)
Article  103  : ('成', 1.1945464335868612)('堆', 1.146270856483152)('蔬菜', 1.0461958218054028)('人的', 1.0000000000000002)
